ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
289,C=C1C[C@H](O)[C@H](Br)[C@](C)(C)[C@@]12CC/C(C)=C(Cl)\C2,elatol,Active,Leishmania,Intracellular,,,"3,9",,,,,,,333.697,aurencia dendroidea,C15H22BrClO,Terpene,sesquiterpene,natural,10.1021/cr400552x &   10.1055/s-0030-1250526 ,228,
290,C=C1C[C@H](O)[C@H](Br)[C@](C)(C)[C@@]12CC/C(C)=C(Cl)\C2,elatol,Active,Leishmania,Intracellular,0.45,,,,,,,,,333.697,aurencia dendroidea,C15H22BrClO,Terpene,sesquiterpene,natural,10.1021/cr400552x &   10.1055/s-0030-1250526 ,228,
291,C=C1C[C@H](O)[C@H](Br)[C@](C)(C)[C@@]12CC/C(C)=C(Cl)\C2,elatol,Active,Leishmania,Extracellular,,,"6,2",,,,,,,333.697,aurencia dendroidea,C15H22BrClO,Terpene,sesquiterpene,natural,10.1021/cr400552x &   10.1055/s-0030-1250526 ,228,
292,CC(=O)OCC3C(=O)O/C2=C/[C@]1(C)CC[C@@](O)(O1)[C@](C)(O)C[C@H](OC(C)=O)C23,"(+)-8,13-diacetyl-piptocarphol",Active,Leishmania,Axenic,0.2,,,,,,,,,398.408,Pseudelephantopus spicatus,C19H26O9,Terpene,sesquiterpene lactone,natural,10.1021/cr400552x,229,
293,CCOCC3C(=O)O/C2=C/[C@]1(C)CC[C@@](O)(O1)[C@](C)(O)C[C@H](OC(C)=O)C23,(+)-8-acetyl-13-O-ethyl-piptocarphol,Active,Leishmania,Axenic,0.37,,,,,,,,,384.425,Pseudelephantopus spicatus,C19H28O8,Terpene,sesquiterpene lactone,natural,10.1021/cr400552x,230,
294,C/C=C(/C)\C(=O)O[C@H]1[C@@H]2[C@@H](C/C(=C\CC(=O)[C@]([C@@H]1OC(=O)C)(C)O)/C)OC(=O)C2=C,calealactone D,Active,Leishmania,Extracellular,"1,9",,,,,,,,,420.458,Calea zacatechichi,C22H28O8,Terpene,"germacranolide,sesquiterpene",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,231,
295,C=C(C)C(=O)OC2[C@@H](COC(C)=O)[C@@](C)(O)C(=O)C/C=C(C)\CC1OC(=O)C(=C)[C@@H]12,calealactone C,Active,Leishmania,Extracellular,"2,2",,,,,,,,,420.458,Calea zacatechichi,C22H28O8,Terpene,"germacranolide,sesquiterpene",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,232,
296,C=C(C)C(=O)O[C@@H]2C(OC(C)=O)[C@H]1C(=C)C(=O)OC1C[C@@H](C)/C=C\C(=O)[C@]2(C)O,calein D,Active,Leishmania,Extracellular,"[1.9 ,8.5]",,,,,,,,,406.431,Calea zacatechichi,C21H26O8,Terpene,"sesquiterpene,germacranolide",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,233,
297,C=C1C(=O)OC2C[C@@H](C)/C=C\C(=O)[C@](C)(O)[C@H](OC(=O)/C(C)=C\C)C(OC(C)=O)[C@@H]12,calein A,Active,Leishmania,Extracellular,"[1.9 ,8.5]",,,,,,,,,420.458,Calea zacatechichi,C22H28O8,Terpene,"sesquiterpene,germacranolide",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,234,
298,c1cc2ccc3cc4c(c5c3c2c(c1)cc5)[C@H]([C@@H]([C@@H]([C@H]4O)O)O)Nc6c7c(ncn6)n(cn7)[C@H]8C[C@@H]([C@H](O8)COP(=O)([O-])[O-])O,calealactone E ,Active,Leishmania,Extracellular,"[1.9 ,8.5]",,,,,,,,,631.538,Calea zacatechichi,C30H26N5O9P-2,Terpene,"sesquiterpene,germacrolide",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,235,
299,C=C2C(=O)OC3C[C@@H](C)/C1=C\C(=O)[C@@](C)(O1)[C@H](OC(C)=O)[C@@H](OC(=O)/C(C)=C\C)[C@@H]23,8beta-angeloxy-9alpha acetyloxycalyculatolide,Active,Leishmania,Extracellular,"[1.9 ,8.5]",,,,,,,,,418.442,Calea zacatechichi,C22H26O8,Terpene,"sesquiterpene,germacrolide",natural,10.1021/cr400552x &   10.1055/s-0030-1250584 ,236,
300,C[C@]1([C@@]2(C(=C)C[C@@H]([C@@H]1Br)O)C[C@H]([C@@](CC2)(Br)C)Cl)C,obtusol,Active,Leishmania,Extracellular,,,"9,7",,,,,,,414.609,"the Brazilian red alga,Laurencia dendroidea",C15H23Br2ClO,Terpene,sesquiterpene,natural,10.1021/cr400552x &   10.1055/s-0030-1250526 ,237,
301,C[C@]1([C@@]2(C(=C)C[C@@H]([C@@H]1Br)O)C[C@H]([C@@](CC2)(Br)C)Cl)C,obtusol,Active,Leishmania,Intracellular,,,"4,5",,,,,,,414.609,"the Brazilian red alga,Laurencia dendroidea",C15H23Br2ClO,Terpene,sesquiterpene,natural,10.1021/cr400552x &   10.1055/s-0030-1250526 ,237,
302,[H][C@@H]2CC[C@@]1([H])/C(C)=C\CC[C@]1([H])[C@@]2([H])CC(=O)CC(=C)CC(=O)O,"(5R,8R,9S,10R)-12-oxo-ent-3,13(16)-clerodien-15-oic acid",Active,Leishmania,Axenic,,,,,,,,,,290.403,Premna schimperi and P. oligotricha,C18H26O3,Terpene,clerodane diterpene,natural,10.1021/cr400552x,238,
303,[H][C@]12CC/C=C(C)\[C@]1(C)CC[C@@H](C)[C@]2(C)CC/C3=C/C(=O)O[C@@H]3O,"16-hydroxy-clerod-3,13(14)-diene-15,16-olide",Active,Leishmania,Axenic,,,,,,,,,,318.457,Premna schimperi and P. oligotricha,C20H30O3,Terpene,clerodane diterpene,natural,10.1021/cr400552x,239,
304,[H][C@]12CCC[C@](C)(C)[C@]1(C)CC/C(C)=C2/CC(=O)C(=C)CC(=O)O,"ent-12-oxolabda-8,13(16)-dien-15-oic acid",Active,Leishmania,Axenic,,,,,,,,,,318.457,Premna schimperi and P. oligotricha,C20H30O3,Terpene,clerodane diterpene,natural,10.1021/cr400552x,240,
305,CC(CCO)CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2CO,cistadiol ,Active,Leishmania,Extracellular,,,<20 ,,,,,,,308.506,Cistus monspeliensis,C20H36O2,Terpene,clerodane-type diterpene,natural,10.1021/cr400552x,241,
306,C[C@@H]1CC[C@]2(C([C@@]1(C)CCC(C)CCO)CCC=C2COC(=O)C)C,18-acetoxy-cis-clerod-3-en-15-ol,Active,Leishmania,Extracellular,,,3.3,,,,,,,350.543,Cistus monspeliensis,C22H38O3,Diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,242,
307,O=C(OCC\1=C\CC[C@H]2[C@@]/1(CC[C@@H](C)[C@]2(C)CCC(C)CCOC(=O)C)C)C,"15,18-diacetoxy-cis-clerod-3-ene",Active,Leishmania,Extracellular,,,"3,4",,,,,,,392.58,Cistus monspeliensis,C24H40O4,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x & 10.1016/j.bmc.2013.11.048 ,243,
308,CC1CCC2(C(C1(C)CCC(C)CCOC(=O)C)CCC=C2CO)C,15-acetoxy-cis-clerod-3-en-18-ol,Inactive,Leishmania,Extracellular,,,<20 ,,,,,,,350.543,Cistus monspeliensis,C22H38O3,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,244,
309,CC(CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2COC(C)=O)C(O)=O,18-acetoxy-cis-clerod-3-en-15-oic acid,Active,Leishmania,Extracellular,10.98,,,,,,,,,350.499,Cistus monspeliensis,C21H34O4,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x & 10.1016/j.bmc.2013.11.048 ,245,
310,CC(CCOC(C)=C)CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2C=O,15-acetoxy-cis-clerod-3-en-18-al,Active,Leishmania,Extracellular,,,5,,,,,,,346.555,Cistus monspeliensis,C23H38O2,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,246,
311,O=C/C1=C/CC[C@H]2[C@@]1(CC[C@@H](C)[C@]2(C)CCC(C)CCO)C,15-hydroxy-cis-clerod-3-en-18-al,Active,Leishmania,Extracellular,,,<20 ,,,,,,,306.49,Cistus monspeliensis,C20H34O2,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,247,
312,C=C[C@@]3(C)CC[C@@H]2[C@](C)(CCC1[C@@](C)(C)[C@H](OC(C)=O)CC[C@]12C)O3,ent-3beta-acetoxy-13-epi-manoyl oxide,Active,Leishmania,Extracellular,,,<20 ,,,,,,,348.527,Cistus creticus,C22H36O3,diterpene,labdane-type diterpene,natural,10.1021/cr400552x,248,
313,C/C(=C\CO)CC[C@H]1/C=C\CC2[C@@](C)(C)CCC[C@]12C,"13(E)-labda-7,13-diene-15-ol ",Active,Leishmania,Extracellular,,,<20 ,,,,,,,276.464,Cistus monspeliensis,C19H32O,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,249,
314,C/C(=C\CO)CC[C@H]2[C@](C)(O)CCC1[C@@](C)(C)CCC[C@@]12C,"13(E)-labd-13-en-8alpha,15-diol",Active,Leishmania,Extracellular,,,<20 ,,,,,,,308.506,Cistus monspeliensis,C20H36O2,diterpene,clerodane-type diterpene,natural,10.1021/cr400552x,250,
315,CC(C)c1c(ccc2c1CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,totarol,Active,Leishmania,Extracellular,,,[3.5-4.6],,,,,,,286.459,Juniperus procera,C20H30O,Terpene,diterpene,natural,10.1021/cr400552x,251,
316,CC(C)c1cc2c(cc1O)[C@]3(CCCC([C@@H]3CC2)(C)C)C,ferruginol,Active,Leishmania,Extracellular,,,[3.5-4.6],,,,,,,286.459,Juniperus procera,C20H30O,Terpene,diterpene,natural,10.1021/cr400552x,252,
317,[H][C@]12CCCC(C)(C)[C@]1([H])C[C@H](O)c1cc(C(C)C)c(=O)c(=O)c21,"7beta-hydroxyabieta-8,13-diene-11,12-dione",Active,Leishmania,Extracellular,,,[3.5-4.6],,,,,,,302.414,Juniperus procera,C19H26O3,Terpene,diterpene,natural,10.1021/cr400552x,253,
318,Cc1c2c(cc3c1C(=O)C=C(C3=O)C(C)C)C(CCC2)(C)C,"12,16-dideoxy aegyptinone B",Active,Leishmania,Extracellular,,,0.75,,,,,,,296.41,Zhumeria majdae,C20H24O2,terpene,diterpene,natural,10.1021/cr400552x,254,
319,CCc1ccoc1.C[C@@H]3CC[C@@]/12COC(=O)C1=C\CCC2[C@@]3(C)C,hautriwaic acid lactone,Active,Leishmania,Extracellular,,,7,,,,,,,330.468,Baccharis dracunculifolia,C21H30O3,Terpene,diterpene,natural,10.1021/cr400552x,255,
320,C[C@H]1COC2=C1C(=O)C(=O)c3c2ccc4c3CCCC4(C)C,cryptotanshinone ,Active,Leishmania,Extracellular,,,18.4,,,,,,,296.366,Perovskia abrotanoides,C19H20O3,Terpene,"diterpenoid 1,2-quinones",natural,10.1021/cr400552x,256,
321,CC(C)c3cc2ccc1c(C(=O)CC[C@]1(C)C)c2c(=O)c3=O,1-oxomiltirone ,Active,Leishmania,Extracellular,,,17.9,,,,,,,296.366,Perovskia abrotanoides,C19H20O3,Terpene,"diterpenoid 1,2-quinone",natural,10.1021/cr400552x,257,
322,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,pristimerin,Active,Leishmania,Extracellular,,,6.4,,,,,,,464.646,Maytenus senegalensis,C30H40O4,triterpene,quinone methide triterpene,natural,10.1021/cr400552x,258,
323,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,pristimerin,Active,Leishmania,Extracellular,,,6.8,,,,,,,464.646,Maytenus senegalensis,C30H40O4,triterpene,quinone methide triterpene,natural,10.1021/cr400552x,258,
324,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5(C4CC(=C)CC5)C)C)C)C)O,isoiguesterin,Active,Leishmania,Extracellular,,,32,,,,,,,404.594,Salacia madagascariensis,C28H36O2,triterpene,bisnortriterpene,natural,10.1021/cr400552x,259,
325,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@H](CC5)CO)C)C)C)C)O,20-epi-isoiguesterinol,Active,Leishmania,Extracellular,,,27,,,,,,,422.609,Salacia madagascariensis,C28H38O3,triterpene,bisnortriterpene,natural,10.1021/cr400552x,260,
326,[H][C@@]45CC[C@@]3(C)/C2=C/C[C@@]1(C)CC[C@](C)(C)C[C@@]1([H])[C@]2(C)CC[C@]3([H])[C@@]4(C)CCC(=O)[C@]5(C)C,taraxerone,Active,Leishmania,Extracellular,,,3.8,,,,,,,424.713,the fruits of Dregea volubilis Benth (Asclepiadaceae),C30H48O,triterpene,pentacyclic triterpenoid,natural,10.1021/cr400552x,261,
327,C[C@@H]1C(=CCC2([C@H]1C3[C@@](CC2)(C4([C@@H](C5([C@H]([C@@](C([C@@H](C5)O)OC6O[C@@H]([C@H]([C@@H]([C@H]6OC7O[C@@H]([C@H]([C@@H]([C@H]7O)O)O)CO)O)O)CO)(C)C)CC4)C)CC3)C)C)C(=O)O)C,arborenin,Inactive,Leishmania,Intracellular,,,15,,,,,,,796.992,Careya arborea,C42H68O14,saponin,Triterpenoid saponin,natural,10.1021/cr400552x,262,
328,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C\C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O,maesabalide I,Active,Leishmania,Intracellular,,,0.07,,,,,,,1517.669,Maesa balansae,C76H108O31,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,263,
329,C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C\C1=CC=CC=C1,maesabalide II,Active,Leishmania,Intracellular,,,0.05,,,,,,,1495.663,Maesa balansae,C74H110O31,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,264,
330,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O,maesabalide III,Active,Leishmania,Intracellular,,,0.02,>32,,,,,,1517.669,Maesa balansae,C76H108O31,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,265,
331,C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C/C1=CC=CC=C1,maesabalide IV,Active,Leishmania,Intracellular,,,0.02,>32,,,,,,1495.663,Maesa balansae,C74H110O31,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,266,
332,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)OC(=O)C)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O,maesabalide V,Active,Leishmania,Intracellular,,,3.4,,,,,,,1559.706,Maesa balansae,C78H110O32,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,267,
333,c1ccc(cc1)c2c(c(n(n2)c3ccccc3)C(=O)[O-])C(=O)[O-],maesabalide VI,Active,Leishmania,Intracellular,,,0.7,,,,,,,306.277,Maesa balansae,C17H10N2O4-2,saponin,pentacyclic triterpene saponin,natural,10.1021/cr400552x,268,
334,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CC=C5C4CC(C67C5(CCC6C(OC7=O)(C)CCC=C(C)C)C)O)C)OS(=O)(=O)[O-])O)O)O)OC8C(C(C(C(O8)CO)O)OC9C(C(C(C(O9)CO)O)OC)O)O.[Na+],Neothyoside C,Active,Leishmania,Extracellular,,,,,,,,,,1189.306,the body walls of the sea cucumber Neothyone gibbosa,C54H85NaO25S,saponin,a lanostane-type triterpene saponin,natural,10.1021/cr400552x,269,
335,CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC2CC(C(=O)O2)CC(=O)C)O)O)O,isoannonacin,Active,Leishmania,Axenic,[4.7-23.3],,,,,,,,,596.890000000001,Annonaceae,C35H64O7,acetogenin,,natural,10.1021/cr400552x,270,
336,CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC2CC(C(=O)O2)CC(=O)C)O)O)O,isoannonacin,Active,Leishmania,Axenic,6.2,,,,,,,,,596.890000000001,Annonaceae,C35H64O7,acetogenin,,natural,10.1021/cr400552x,270,
337,CCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCC(O)CCCC(O)CC1CC(C)OC1=O,"2,33-dihydroannonacin",Active,Leishmania,Extracellular,[4.7-23.3],,,,,,,,,542.798,Annonaceae,C31H58O7,acetogenin,,natural,10.1021/cr400552x,271,
338,CCCCCCCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCC1CC(CC(C)=O)C(=O)O1,isorolliniastatin-1,Active,Leishmania,Extracellular,[4.7-23.3],,,,,,,,,580.847000000001,,C34H60O7,acetogenin,,natural,10.1021/cr400552x,272,
339,CCCCCCC(CCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O)O,panalicin,Active,Leishmania,Extracellular,[4.7-23.3],,,,,,,,,638.927000000001,Annonaceae plant family,C37H66O8,Acetogenin,,natural,10.1021/cr400552x,273,
340,CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O,narumicin-1,Active,Leishmania,Intracellular,[4.7-23.3],,,,,,,,,622.928000000001,Annonaceae plant family,C37H66O7,Acetogenin,,natural,10.1021/cr400552x,274,
341,CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O,narumicin-1,Active,Leishmania,Intracellular,[2.5-29.7],,,,,,,,,622.928000000001,Annonaceae plant family,C37H66O7,Acetogenin,,natural,10.1021/cr400552x,274,
342,[H]C(CCCCCC)CCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCCC(O)CCC1=CC(C)OC1=O,narumicin-2,Active,Leishmania,Intracellular,[4.7-23.3],,,,,,,,,622.928,Annonaceae,C37H66O7,acetogenin,,natural,10.1021/cr400552x,275,
343,[H]C(CCCCCC)CCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCCC(O)CCC1=CC(C)OC1=O,narumicin-2,Active,Leishmania,Intracellular,[2.5-29.7],,,,,,,,,622.928,Annonaceae,C37H66O7,acetogenin,,natural,10.1021/cr400552x,275,
344,CCCC(CCC(CCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O)O,cherimolin,Active,Leishmania,Intracellular,[4.7-23.3],,,,,,,,,638.927000000001,Annonaceae,C37H66O8,acetogenin,,natural,10.1021/cr400552x,276,
345,CCCC(CCC(CCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O)O,cherimolin,Active,Leishmania,Intracellular,[2.5-29.7],,,,,,,,,638.927000000001,Annonaceae,C37H66O8,acetogenin,,natural,10.1021/cr400552x,276,
346,CC[C@H](C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)OC)N(C)C(=O)CCCC(CCCC#C)OC,viridamide A,Active,Leishmania,Extracellular,1.5,,,,,,,,,862.163,Oscillatoria nigrowiridis,C46H79N5O10,peptide,,natural,10.1021/cr400552x,277,
347,CCCC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCNC(=O)N)O)[C@@H](C)CC)C)CC3=CC(=C(C=C3)OC)Br)C(C)C)C,symplocamide A,Active,Leishmania,Extracellular,9.5,,,,,,,,,1052.035,"marine cyanobacterium, Symploca sp",C46H71BrN10O13,peptide,,natural,10.1021/cr400552x,278,
348,CN([C@H](Cc1ccccc1)C(=O)N[C@@H]2CCCCNC2=O)C(=O)CCCCCCCC=C,Ciliatamide A,Active,Leishmania,Extracellular,22.65,,,,,,,"45,5",10 µg/ml,441.616,Aaptos ciliate,C26H39N3O3,peptide,,natural,10.1021/cr400552x & 10.1016/j.bmc.2013.11.048  & 10.1021/np8000317 ,279,
349,CCCCCCCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H]2CCCCNC2=O,Ciliatamide B,Active,Leishmania,Extracellular,24.07,,,,,,,,,415.578,Aaptos ciliate,C24H37N3O3,peptide,,natural,10.1021/cr400552x & 10.1016/j.bmc.2013.11.048  & 10.1021/np8000317 ,280,
350,C[C@@H](CCCCC#C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)N,Dragonamide A,Active,Leishmania,,6.5,,,,,,,50,10 µg/ml,653.909,Lyngbya majuscula,C37H59N5O5,peptide,,natural,10.1021/cr400552x,281,
351,C[C@@H](CCCCC#C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N,dragonamide E,Active,Leishmania,,5.1,,,,,,,,,605.865,Lyngbya majuscula,C33H59N5O5,peptide,,natural,10.1021/cr400552x  &  10.1016/j.bmc.2013.11.048  &  10.1021/np900622m ,282,
352,C[C@@H](C/C=C/C=C(\C)/C(=O)N[C@H](C1=NC=CS1)C(C)C)C(Cl)(Cl)Cl,herbamide B,Active,Leishmania,,5.9,,,,,,,,,409.81,Lyngbya majuscula,C17H23Cl3N2OS,peptide,,natural,10.1021/cr400552x  &  10.1016/j.bmc.2013.11.048  &  10.1021/np900622m ,283,
353,C[C@H]([C@H]1C(=O)N[C@H](C2=N[C@@H](CS2)C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)Cc4ccccc4)C(C)C)C(C)C)OC(C)(C)C=C,mollamide B,Active,Leishmania,,,,18,,,,,,,696.915,Indonesian tunicate Didemnum molle,C36H52N6O6S,peptide,the cyclic hexapeptide,natural,10.1021/cr400552x,284,
354,CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1[C@H](C(=CC1=O)OC)C)N(C)C,gallinamide A,Active,Leishmania,Extracellular,9.3,,,,,,,,,592.778,Schizothrix sp,C31H52N4O7,peptide,,natural,10.1021/cr400552x,285,
355,O=C1/C=C\[C@]34Oc5ccc(O)c6C(=O)CC[C@@](Oc2cccc1c23)(O4)c56,preussomerin EG 1,Active,Leishmania,Intracellular,9,,,,,,,,,348.31,fungus Edenia sp,C20H12O6,palmarumycin,,natural,10.1021/cr400552x,286,
356,O=C1/C=C\[C@]34Oc5ccc(O)c6C(=O)CC[C@@](Oc2cccc1c23)(O4)c56,preussomerin EG 1,Active,Leishmania,Intracellular,0.12,,,,,,,,,348.31,fungus Edenia sp,C20H12O6,palmarumycin,,natural,10.1021/cr400552x,286,
357,O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5cccc(O)c45,palmarumycin CP 2,Active,Leishmania,Intracellular,[0.12-8.40],,,,,,,,,318.328,fungus Edenia sp,C20H14O4,palmarumycin,,natural,10.1021/cr400552x,287,
358,O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5c(O)ccc(O)c45,palmarumycin CP 17,Active,Leishmania,Intracellular,174,,,,,,,,,334.327,fungus Edenia sp,C20H14O5,palmarumycin,,natural,10.1021/cr400552x,288,
359,O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5c(O)ccc(O)c45,palmarumycin CP 17,Active,Leishmania,Intracellular,1.34,,,,,,,,,334.327,fungus Edenia sp,C20H14O5,palmarumycin,,natural,10.1021/cr400552x,288,
360,O=c1ccc(=O)c2c1[C@@H](O)CC[C@@]23Oc4cccc5cccc(O3)c45,palmarumycin CP 18,Active,Leishmania,Intracellular,0.62,,,,,,,,,334.327,fungus Edenia sp,C20H14O5,palmarumycin,,natural,10.1021/cr400552x,289,
361,Oc1cccc2c1[C@@H](O)CC[C@@]23Oc4cccc5cccc(O3)c45,"CJ-12,371",Active,Leishmania,Intracellular,[0.12-8.40],,,,,,,,,320.344,fungus Edenia sp,C20H16O4,palmarumycin,,natural,10.1021/cr400552x,290,
